Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
P19338	NUCL_HUMAN	Nucleolin (Protein C23)	Homo sapiens (Human)	710	NCL	cell cortex [GO:0005938]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	angiogenesis [GO:0001525]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of translation [GO:0017148]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]	DNA topoisomerase binding [GO:0044547]; identical protein binding [GO:0042802]; mRNA 5'-UTR binding [GO:0048027]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]
Q00341	VIGLN_HUMAN	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Homo sapiens (Human)	1268	HDLBP	cytosol [GO:0005829]; high-density lipoprotein particle [GO:0034364]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	cholesterol metabolic process [GO:0008203]; high-density lipoprotein particle clearance [GO:0034384]; lipid transport [GO:0006869]	cadherin binding [GO:0045296]; lipid binding [GO:0008289]; RNA binding [GO:0003723]
Q9BQG0	MBB1A_HUMAN	Myb-binding protein 1A	Homo sapiens (Human)	1328	MYBBP1A	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; NLS-dependent protein nuclear import complex [GO:0042564]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cellular response to glucose starvation [GO:0042149]; circadian regulation of gene expression [GO:0032922]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of transcription, DNA-templated [GO:0045892]; osteoblast differentiation [GO:0001649]; positive regulation of anoikis [GO:2000210]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of transcription, DNA-templated [GO:0006355]; respiratory electron transport chain [GO:0022904]; ribosome biogenesis [GO:0042254]	E-box binding [GO:0070888]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
P52272	HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	Homo sapiens (Human)	730	HNRNPM	catalytic step 2 spliceosome [GO:0071013]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; post-mRNA release spliceosomal complex [GO:0071014]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]	alternative mRNA splicing, via spliceosome [GO:0000380]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA splicing, via spliceosome [GO:0000398]; regulation of mRNA stability involved in response to oxidative stress [GO:2000815]; RNA metabolic process [GO:0016070]	mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]
Q9Y520	PRC2C_HUMAN	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	Homo sapiens (Human)	2896	PRRC2C	cytosol [GO:0005829]; membrane [GO:0016020]	hematopoietic progenitor cell differentiation [GO:0002244]	protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]
Q8TDD1	DDX54_HUMAN	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	Homo sapiens (Human)	881	DDX54	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]	intracellular estrogen receptor signaling pathway [GO:0030520]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; estrogen receptor binding [GO:0030331]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; transcription corepressor activity [GO:0003714]
O75534	CSDE1_HUMAN	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	Homo sapiens (Human)	798	CSDE1	CRD-mediated mRNA stability complex [GO:0070937]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]	male gonad development [GO:0008584]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]	RNA binding [GO:0003723]
Q08211	DHX9_HUMAN	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	Homo sapiens (Human)	1270	DHX9	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; membrane [GO:0016020]; micro-ribonucleoprotein complex [GO:0035068]; nuclear body [GO:0016604]; nuclear stress granule [GO:0097165]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perichromatin fibrils [GO:0005726]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; RISC-loading complex [GO:0070578]	alternative mRNA splicing, via spliceosome [GO:0000380]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to tumor necrosis factor [GO:0071356]; CRD-mediated mRNA stabilization [GO:0070934]; DNA duplex unwinding [GO:0032508]; DNA replication [GO:0006260]; DNA-templated transcription, termination [GO:0006353]; DNA-templated viral transcription [GO:0039695]; G-quadruplex DNA unwinding [GO:0044806]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; osteoblast differentiation [GO:0001649]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA replication [GO:0045740]; positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity [GO:2000373]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of inflammatory response [GO:0050729]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-alpha secretion [GO:1902741]; positive regulation of interferon-beta secretion [GO:0035549]; positive regulation of interleukin-18 production [GO:0032741]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of polysome binding [GO:1905698]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor secretion [GO:1904469]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral transcription [GO:0050434]; positive regulation of viral translation [GO:1904973]; protein localization to cytoplasmic stress granule [GO:1903608]; pyroptosis [GO:0070269]; regulation of cytoplasmic translation [GO:2000765]; regulation of defense response to virus by host [GO:0050691]; regulation of mRNA processing [GO:0050684]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]; RNA secondary structure unwinding [GO:0010501]; small RNA loading onto RISC [GO:0070922]; targeting of mRNA for destruction involved in RNA interference [GO:0030423]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent 3'-5' DNA/RNA helicase activity [GO:0033681]; ATP-dependent 3'-5' DNA helicase activity [GO:0043140]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; ATP-dependent DNA helicase activity [GO:0004003]; ATP-dependent RNA helicase activity [GO:0004004]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA replication origin binding [GO:0003688]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; importin-alpha family protein binding [GO:0061676]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleoside-triphosphatase activity [GO:0017111]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; polysome binding [GO:1905538]; promoter-specific chromatin binding [GO:1990841]; regulatory region RNA binding [GO:0001069]; RISC complex binding [GO:1905172]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA polymerase binding [GO:0070063]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; RNA stem-loop binding [GO:0035613]; sequence-specific mRNA binding [GO:1990825]; single-stranded DNA binding [GO:0003697]; single-stranded DNA-dependent ATP-dependent 3'-5' DNA helicase activity [GO:1990518]; single-stranded RNA binding [GO:0003727]; siRNA binding [GO:0035197]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; triplex DNA binding [GO:0045142]
P15924	DESP_HUMAN	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	Homo sapiens (Human)	2871	DSP	basolateral plasma membrane [GO:0016323]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; extracellular exosome [GO:0070062]; fascia adherens [GO:0005916]; ficolin-1-rich granule membrane [GO:0101003]; intercalated disc [GO:0014704]; intermediate filament [GO:0005882]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	adherens junction organization [GO:0034332]; bundle of His cell-Purkinje myocyte adhesion involved in cell communication [GO:0086073]; cell-cell adhesion [GO:0098609]; cornification [GO:0070268]; desmosome organization [GO:0002934]; epidermis development [GO:0008544]; intermediate filament cytoskeleton organization [GO:0045104]; intermediate filament organization [GO:0045109]; keratinization [GO:0031424]; keratinocyte differentiation [GO:0030216]; neutrophil degranulation [GO:0043312]; peptide cross-linking [GO:0018149]; protein localization to adherens junction [GO:0071896]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ventricular cardiac muscle cell action potential [GO:0098911]; skin development [GO:0043588]; ventricular compact myocardium morphogenesis [GO:0003223]; wound healing [GO:0042060]	cell adhesion molecule binding [GO:0050839]; cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication [GO:0086083]; protein binding, bridging [GO:0030674]; protein kinase C binding [GO:0005080]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]
Q7KZF4	SND1_HUMAN	Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	Homo sapiens (Human)	910	SND1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; RISC complex [GO:0016442]	gene silencing by RNA [GO:0031047]; miRNA catabolic process [GO:0010587]; osteoblast differentiation [GO:0001649]; regulation of cell cycle process [GO:0010564]; RNA catabolic process [GO:0006401]; viral process [GO:0016032]	cadherin binding [GO:0045296]; endonuclease activity [GO:0004519]; endoribonuclease activity [GO:0004521]; nuclease activity [GO:0004518]; RISC complex binding [GO:1905172]; RNA binding [GO:0003723]; transcription coregulator activity [GO:0003712]
Q9NR30	DDX21_HUMAN	Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)	Homo sapiens (Human)	783	DDX21	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	defense response to virus [GO:0051607]; innate immune response [GO:0045087]; osteoblast differentiation [GO:0001649]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; response to exogenous dsRNA [GO:0043330]; rRNA processing [GO:0006364]; transcription by RNA polymerase II [GO:0006366]	7SK snRNA binding [GO:0097322]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; snoRNA binding [GO:0030515]
Q9NZB2	F120A_HUMAN	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	Homo sapiens (Human)	1118	FAM120A	cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]		RNA binding [GO:0003723]
Q6PKG0	LARP1_HUMAN	La-related protein 1 (La ribonucleoprotein domain family member 1)	Homo sapiens (Human)	1096	LARP1	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; membrane [GO:0016020]	cell population proliferation [GO:0008283]; cellular response to rapamycin [GO:0072752]; mRNA stabilization [GO:0048255]; negative regulation of translation [GO:0017148]; positive regulation of macroautophagy [GO:0016239]; positive regulation of viral genome replication [GO:0045070]; response to amino acid starvation [GO:1990928]; TORC1 signaling [GO:0038202]; TOR signaling [GO:0031929]; translational initiation [GO:0006413]	cadherin binding [GO:0045296]; eukaryotic initiation factor 4E binding [GO:0008190]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; translation activator activity [GO:0008494]; translation initiation factor binding [GO:0031369]
Q7L2E3	DHX30_HUMAN	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	Homo sapiens (Human)	1194	DHX30	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ribonucleoprotein granule [GO:0035770]	central nervous system development [GO:0007417]; mitochondrial large ribosomal subunit assembly [GO:1902775]	ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; ATP-dependent DNA helicase activity [GO:0004003]; ATP-dependent RNA helicase activity [GO:0004004]; chromatin binding [GO:0003682]; double-stranded RNA binding [GO:0003725]; G-quadruplex RNA binding [GO:0002151]; RNA binding [GO:0003723]
Q9BVJ6	UT14A_HUMAN	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	Homo sapiens (Human)	771	UTP14A	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	rRNA processing [GO:0006364]	RNA binding [GO:0003723]
Q5JTH9	RRP12_HUMAN	RRP12-like protein	Homo sapiens (Human)	1297	RRP12	integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]		RNA binding [GO:0003723]
P48634	PRC2A_HUMAN	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	Homo sapiens (Human)	2157	PRRC2A	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]		RNA binding [GO:0003723]
