Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.
P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	Homo sapiens (Human)	724	HSP90AB1	aryl hydrocarbon receptor complex [GO:0034751]; axonal growth cone [GO:0044295]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; HSP90-CDC37 chaperone complex [GO:1990565]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]	axon extension [GO:0048675]; cellular response to interleukin-4 [GO:0071353]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated protein complex assembly [GO:0051131]; establishment of cell polarity [GO:0030010]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of transforming growth factor beta activation [GO:1901389]; neutrophil degranulation [GO:0043312]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cyclin-dependent protein kinase activity [GO:1904031]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cellular protein localization [GO:1903827]; regulation of cellular response to heat [GO:1900034]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of protein ubiquitination [GO:0031396]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; response to unfolded protein [GO:0006986]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062]; xenobiotic metabolic process [GO:0006805]	ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; cadherin binding [GO:0045296]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; double-stranded RNA binding [GO:0003725]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; peptide binding [GO:0042277]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; RNA binding [GO:0003723]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P49368	TCPG_HUMAN	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)	Homo sapiens (Human)	545	CCT3	cell body [GO:0044297]; chaperonin-containing T-complex [GO:0005832]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; zona pellucida receptor complex [GO:0002199]	binding of sperm to zona pellucida [GO:0007339]; pore complex assembly [GO:0046931]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; toxin transport [GO:1901998]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
P38646	GRP75_HUMAN	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	Homo sapiens (Human)	679	HSPA9	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]	cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; erythrocyte differentiation [GO:0030218]; interleukin-12-mediated signaling pathway [GO:0035722]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of apoptotic process [GO:0043066]; negative regulation of erythrocyte differentiation [GO:0045647]; protein refolding [GO:0042026]; regulation of erythrocyte differentiation [GO:0045646]; response to unfolded protein [GO:0006986]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Homo sapiens (Human)	165	PPIA	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]	entry into host cell [GO:0030260]; establishment of integrated proviral latency [GO:0075713]; fusion of virus membrane with host plasma membrane [GO:0019064]; interleukin-12-mediated signaling pathway [GO:0035722]; leukocyte migration [GO:0050900]; lipid droplet organization [GO:0034389]; neutrophil degranulation [GO:0043312]; positive regulation of protein secretion [GO:0050714]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; regulation of viral genome replication [GO:0045069]; RNA-dependent DNA biosynthetic process [GO:0006278]; uncoating of virus [GO:0019061]; viral life cycle [GO:0019058]; viral release from host cell [GO:0019076]; virion assembly [GO:0019068]	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; virion binding [GO:0046790]
Q13427	PPIG_HUMAN	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)	Homo sapiens (Human)	754	PPIG	cytosol [GO:0005829]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; RNA splicing [GO:0008380]	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
P05198	IF2A_HUMAN	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	Homo sapiens (Human)	315	EIF2S1	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 2B complex [GO:0005851]; eukaryotic translation initiation factor 2 complex [GO:0005850]; extracellular exosome [GO:0070062]; glial limiting end-foot [GO:0097451]; membrane [GO:0016020]; multi-eIF complex [GO:0043614]; nucleus [GO:0005634]; polysome [GO:0005844]; synapse [GO:0045202]; translation initiation ternary complex [GO:0044207]	aging [GO:0007568]; cellular response to amino acid starvation [GO:0034198]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; cellular response to UV [GO:0034644]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of translational initiation in response to stress [GO:0032057]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of neuron death [GO:1901216]; positive regulation of type B pancreatic cell apoptotic process [GO:2000676]; protein autophosphorylation [GO:0046777]; response to endoplasmic reticulum stress [GO:0034976]; response to manganese-induced endoplasmic reticulum stress [GO:1990737]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; transmembrane transport [GO:0055085]	ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]
P51858	HDGF_HUMAN	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	Homo sapiens (Human)	240	HDGF	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; transcriptional repressor complex [GO:0017053]	cell population proliferation [GO:0008283]; cellular response to interleukin-7 [GO:0098761]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of transcription by RNA polymerase II [GO:0000122]; signal transduction [GO:0007165]	DNA binding [GO:0003677]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; transcription corepressor binding [GO:0001222]
Q8WXF0	SRS12_HUMAN	Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)	Homo sapiens (Human)	261	SRSF12	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]	mRNA 5'-splice site recognition [GO:0000395]; mRNA cis splicing, via spliceosome [GO:0045292]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; spliceosomal tri-snRNP complex assembly [GO:0000244]	RNA binding [GO:0003723]; RS domain binding [GO:0050733]; unfolded protein binding [GO:0051082]
O75494	SRS10_HUMAN	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	Homo sapiens (Human)	262	SRSF10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cytosolic transport [GO:0016482]; mRNA 5'-splice site recognition [GO:0000395]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splice site selection [GO:0006376]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal tri-snRNP complex assembly [GO:0000244]	RNA binding [GO:0003723]; RS domain binding [GO:0050733]; unfolded protein binding [GO:0051082]
P0DMV9	HS71B_HUMAN	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)	Homo sapiens (Human)	641	HSPA1B	aggresome [GO:0016235]; blood microparticle [GO:0072562]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; inclusion body [GO:0016234]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982]	ATP metabolic process [GO:0046034]; cellular heat acclimation [GO:0070370]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; mRNA catabolic process [GO:0006402]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of protein ubiquitination [GO:0031397]; neutrophil degranulation [GO:0043312]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of cellular response to heat [GO:1900034]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; C3HC4-type RING finger domain binding [GO:0055131]; enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; virus receptor activity [GO:0001618]
P27824	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	Homo sapiens (Human)	592	CANX	axon [GO:0030424]; dendrite cytoplasm [GO:0032839]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic active zone membrane [GO:0099059]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; neuronal cell body [GO:0043025]; ribosome [GO:0005840]; rough endoplasmic reticulum [GO:0005791]; smooth endoplasmic reticulum [GO:0005790]	aging [GO:0007568]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; clathrin-dependent endocytosis [GO:0072583]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein secretion [GO:0009306]; synaptic vesicle endocytosis [GO:0048488]	apolipoprotein binding [GO:0034185]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; ionotropic glutamate receptor binding [GO:0035255]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	Homo sapiens (Human)	704	TRAP1	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	chaperone-mediated protein folding [GO:0061077]; negative regulation of cellular respiration [GO:1901856]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; translational attenuation [GO:0009386]	ATP binding [GO:0005524]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; tumor necrosis factor receptor binding [GO:0005164]; unfolded protein binding [GO:0051082]
Q9UNP9	PPIE_HUMAN	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)	Homo sapiens (Human)	301	PPIE	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; U2-type catalytic step 2 spliceosome [GO:0071007]	mRNA splicing, via spliceosome [GO:0000398]; neutrophil degranulation [GO:0043312]; positive regulation of viral genome replication [GO:0045070]; protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; regulation of transcription, DNA-templated [GO:0006355]; transcription-coupled nucleotide-excision repair [GO:0006283]	cyclosporin A binding [GO:0016018]; mRNA binding [GO:0003729]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; poly(A) binding [GO:0008143]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
Q99733	NP1L4_HUMAN	Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)	Homo sapiens (Human)	375	NAP1L4	cytoplasm [GO:0005737]; nucleus [GO:0005634]	nucleosome assembly [GO:0006334]	nucleosome binding [GO:0031491]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
P04792	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	Homo sapiens (Human)	205	HSPB1	axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]	anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mRNA stability [GO:0043488]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895]	identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; protein kinase C inhibitor activity [GO:0008426]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]
P17987	TCPA_HUMAN	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	Homo sapiens (Human)	556	TCP1	acrosomal vesicle [GO:0001669]; cell body [GO:0044297]; centrosome [GO:0005813]; chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; nuclear heterochromatin [GO:0005720]; pericentriolar material [GO:0000242]; zona pellucida receptor complex [GO:0002199]	binding of sperm to zona pellucida [GO:0007339]; interleukin-12-mediated signaling pathway [GO:0035722]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of macrophage apoptotic process [GO:2000109]; scaRNA localization to Cajal body [GO:0090666]; toxin transport [GO:1901998]; translocation of peptides or proteins into host cell cytoplasm [GO:0044053]; tubulin complex assembly [GO:0007021]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
P18031	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	Homo sapiens (Human)	435	PTPN1	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; protein-containing complex [GO:0032991]; sorting endosome [GO:0097443]	actin cytoskeleton reorganization [GO:0031532]; activation of JUN kinase activity [GO:0007257]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum unfolded protein response [GO:0030968]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of signal transduction [GO:0009968]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; peptidyl-tyrosine dephosphorylation [GO:0035335]; peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity [GO:1990264]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of receptor catabolic process [GO:2000646]; protein dephosphorylation [GO:0006470]; regulation of endocytosis [GO:0030100]; regulation of hepatocyte growth factor receptor signaling pathway [GO:1902202]; regulation of intracellular protein transport [GO:0033157]; regulation of signal transduction [GO:0009966]; regulation of type I interferon-mediated signaling pathway [GO:0060338]	cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; insulin receptor binding [GO:0005158]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein tyrosine phosphatase activity [GO:0004725]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
P23284	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	Homo sapiens (Human)	216	PPIB	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]	bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation by host of viral process [GO:0044794]; positive regulation of multicellular organism growth [GO:0040018]; protein peptidyl-prolyl isomerization [GO:0000413]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; unfolded protein binding [GO:0051082]
P50454	SERPH_HUMAN	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47)	Homo sapiens (Human)	418	SERPINH1	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; membrane raft [GO:0045121]	chondrocyte development involved in endochondral bone morphogenesis [GO:0003433]; collagen biosynthetic process [GO:0032964]; collagen fibril organization [GO:0030199]; negative regulation of endopeptidase activity [GO:0010951]; protein maturation [GO:0051604]; response to unfolded protein [GO:0006986]	collagen binding [GO:0005518]; RNA binding [GO:0003723]; serine-type endopeptidase inhibitor activity [GO:0004867]; unfolded protein binding [GO:0051082]
P50991	TCPD_HUMAN	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)	Homo sapiens (Human)	539	CCT4	cell body [GO:0044297]; cell projection [GO:0042995]; centrosome [GO:0005813]; chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; zona pellucida receptor complex [GO:0002199]	binding of sperm to zona pellucida [GO:0007339]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; scaRNA localization to Cajal body [GO:0090666]; toxin transport [GO:1901998]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
P40227	TCPZ_HUMAN	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)	Homo sapiens (Human)	531	CCT6A	chaperonin-containing T-complex [GO:0005832]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]	positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; protein stabilization [GO:0050821]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; WD40-repeat domain binding [GO:0071987]
