Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.
P14625	ENPL_HUMAN	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Homo sapiens (Human)	803	HSP90B1	collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	actin rod assembly [GO:0031247]; ATF6-mediated unfolded protein response [GO:0036500]; cellular protein metabolic process [GO:0044267]; cellular response to ATP [GO:0071318]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of apoptotic process [GO:0043066]; post-translational protein modification [GO:0043687]; protein folding in endoplasmic reticulum [GO:0034975]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; regulation of phosphoprotein phosphatase activity [GO:0043666]; response to endoplasmic reticulum stress [GO:0034976]; response to hypoxia [GO:0001666]; retrograde protein transport, ER to cytosol [GO:0030970]; sequestering of calcium ion [GO:0051208]; toll-like receptor signaling pathway [GO:0002224]; ubiquitin-dependent ERAD pathway [GO:0030433]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; low-density lipoprotein particle receptor binding [GO:0050750]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
Q14643	ITPR1_HUMAN	Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)	Homo sapiens (Human)	2758	ITPR1	calcineurin complex [GO:0005955]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear inner membrane [GO:0005637]; nucleolus [GO:0005730]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; platelet dense tubular network [GO:0031094]; platelet dense tubular network membrane [GO:0031095]; postsynaptic density [GO:0014069]; sarcoplasmic reticulum [GO:0016529]; Schaffer collateral - CA1 synapse [GO:0098685]; secretory granule membrane [GO:0030667]; transport vesicle membrane [GO:0030658]	calcium ion transport [GO:0006816]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; epithelial fluid transport [GO:0042045]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of calcium-mediated signaling [GO:0050849]; platelet activation [GO:0030168]; post-embryonic development [GO:0009791]; regulation of autophagy [GO:0010506]; regulation of cardiac conduction [GO:1903779]; regulation of insulin secretion [GO:0050796]; release of sequestered calcium ion into cytosol [GO:0051209]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]; voluntary musculoskeletal movement [GO:0050882]	calcium channel inhibitor activity [GO:0019855]; calcium ion binding [GO:0005509]; calcium ion transmembrane transporter activity [GO:0015085]; calcium-release channel activity [GO:0015278]; inositol 1,4,5 trisphosphate binding [GO:0070679]; inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels [GO:0098695]; inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0005220]; phosphatidylinositol binding [GO:0035091]
P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	Homo sapiens (Human)	332	LDHA	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]	glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; NAD metabolic process [GO:0019674]; positive regulation of apoptotic process [GO:0043065]; post-embryonic animal organ development [GO:0048569]; pyruvate metabolic process [GO:0006090]; response to cAMP [GO:0051591]; response to estrogen [GO:0043627]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; substantia nigra development [GO:0021762]	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; L-lactate dehydrogenase activity [GO:0004459]; NAD binding [GO:0051287]
P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	Homo sapiens (Human)	417	PGK1	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; membrane raft [GO:0045121]	canonical glycolysis [GO:0061621]; cellular response to hypoxia [GO:0071456]; epithelial cell differentiation [GO:0030855]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; negative regulation of angiogenesis [GO:0016525]; phosphorylation [GO:0016310]; plasminogen activation [GO:0031639]; positive regulation of oxidative phosphorylation [GO:1903862]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; protein-disulfide reductase activity [GO:0047134]
P14635	CCNB1_HUMAN	G2/mitotic-specific cyclin-B1	Homo sapiens (Human)	433	CCNB1	centrosome [GO:0005813]; condensed nuclear chromosome outer kinetochore [GO:0000942]; cyclin B1-CDK1 complex [GO:0097125]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle pole [GO:0000922]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; cellular response to fatty acid [GO:0071398]; cellular response to hypoxia [GO:0071456]; cellular response to iron(III) ion [GO:0071283]; cellular response to organic cyclic compound [GO:0071407]; digestive tract development [GO:0048565]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; G2/M transition of mitotic cell cycle [GO:0000086]; histone H3-S10 phosphorylation involved in chromosome condensation [GO:2000775]; in utero embryonic development [GO:0001701]; mitotic cell cycle [GO:0000278]; mitotic metaphase plate congression [GO:0007080]; mitotic nuclear envelope disassembly [GO:0007077]; mitotic spindle organization [GO:0007052]; negative regulation of gene expression [GO:0010629]; negative regulation of protein phosphorylation [GO:0001933]; oocyte maturation [GO:0001556]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of histone phosphorylation [GO:0033129]; positive regulation of mitochondrial ATP synthesis coupled electron transport [GO:1905448]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mRNA 3'-end processing [GO:0031442]; protein-containing complex assembly [GO:0065003]; regulation of cell cycle [GO:0051726]; regulation of chromosome condensation [GO:0060623]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266]; regulation of mitotic nuclear division [GO:0007088]; response to DDT [GO:0046680]; response to mechanical stimulus [GO:0009612]; spermatogenesis [GO:0007283]; tissue regeneration [GO:0042246]; ventricular cardiac muscle cell development [GO:0055015]	cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; histone kinase activity [GO:0035173]; patched binding [GO:0005113]; protein kinase binding [GO:0019901]; ubiquitin-like protein ligase binding [GO:0044389]
P62987	RL40_HUMAN	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	Homo sapiens (Human)	128	UBA52	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; host cell [GO:0043657]; lysosomal membrane [GO:0005765]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]; vesicle [GO:0031982]	activation of MAPK activity [GO:0000187]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cellular protein metabolic process [GO:0044267]; cellular protein modification process [GO:0006464]; cytokine-mediated signaling pathway [GO:0019221]; DNA damage response, detection of DNA damage [GO:0042769]; endosomal transport [GO:0016197]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; global genome nucleotide-excision repair [GO:0070911]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; interleukin-1-mediated signaling pathway [GO:0070498]; interstrand cross-link repair [GO:0036297]; intracellular transport of virus [GO:0075733]; JNK cascade [GO:0007254]; membrane organization [GO:0061024]; modification-dependent protein catabolic process [GO:0019941]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; positive regulation of apoptotic process [GO:0043065]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; protein targeting to peroxisome [GO:0006625]; protein ubiquitination [GO:0016567]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; stress-activated MAPK cascade [GO:0051403]; transcription-coupled nucleotide-excision repair [GO:0006283]; transforming growth factor beta receptor signaling pathway [GO:0007179]; translation [GO:0006412]; translational initiation [GO:0006413]; translesion synthesis [GO:0019985]; transmembrane transport [GO:0055085]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; viral life cycle [GO:0019058]; virion assembly [GO:0019068]; Wnt signaling pathway [GO:0016055]	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]
P04637	P53_HUMAN	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	Homo sapiens (Human)	393	TP53	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; intracellular [GO:0005622]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nuclear chromatin [GO:0000790]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]	autophagy [GO:0006914]; base-excision repair [GO:0006284]; cell aging [GO:0007569]; cell cycle arrest [GO:0007050]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cellular protein localization [GO:0034613]; cellular response to actinomycin D [GO:0072717]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to drug [GO:0035690]; cellular response to gamma radiation [GO:0071480]; cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to UV [GO:0034644]; chromatin assembly [GO:0031497]; circadian behavior [GO:0048512]; cytokine-mediated signaling pathway [GO:0019221]; determination of adult lifespan [GO:0008340]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; DNA strand renaturation [GO:0000733]; entrainment of circadian clock by photoperiod [GO:0043153]; ER overload response [GO:0006983]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; mitotic G1 DNA damage checkpoint [GO:0031571]; mRNA transcription [GO:0009299]; multicellular organism development [GO:0007275]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of helicase activity [GO:0051097]; negative regulation of telomerase activity [GO:0051974]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleotide-excision repair [GO:0006289]; oligodendrocyte apoptotic process [GO:0097252]; oxidative stress-induced premature senescence [GO:0090403]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903800]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; positive regulation of protein oligomerization [GO:0032461]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of thymocyte apoptotic process [GO:0070245]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; protein-containing complex assembly [GO:0065003]; protein deubiquitination [GO:0016579]; protein homotetramerization [GO:0051289]; protein localization [GO:0008104]; protein tetramerization [GO:0051262]; Ras protein signal transduction [GO:0007265]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of mitochondrial membrane permeability [GO:0046902]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription, DNA-templated [GO:0006355]; replicative senescence [GO:0090399]; response to antibiotic [GO:0046677]; response to gamma radiation [GO:0010332]; RNA polymerase II preinitiation complex assembly [GO:0051123]; signal transduction by p53 class mediator [GO:0072331]; viral process [GO:0016032]	ATP binding [GO:0005524]; chaperone binding [GO:0051087]; chromatin binding [GO:0003682]; copper ion binding [GO:0005507]; core promoter sequence-specific DNA binding [GO:0001046]; disordered domain specific binding [GO:0097718]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; p53 binding [GO:0002039]; promoter-specific chromatin binding [GO:1990841]; protease binding [GO:0002020]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; protein N-terminus binding [GO:0047485]; protein phosphatase 2A binding [GO:0051721]; protein phosphatase binding [GO:0019903]; protein self-association [GO:0043621]; receptor tyrosine kinase binding [GO:0030971]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; TFIID-class transcription factor complex binding [GO:0001094]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
P17301	ITA2_HUMAN	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	Homo sapiens (Human)	1181	ITGA2	axon terminus [GO:0043679]; basal part of cell [GO:0045178]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; integrin alpha2-beta1 complex [GO:0034666]; integrin complex [GO:0008305]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	animal organ morphogenesis [GO:0009887]; blood coagulation [GO:0007596]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-matrix adhesion [GO:0007160]; cell population proliferation [GO:0008283]; cell-substrate adhesion [GO:0031589]; cellular response to estradiol stimulus [GO:0071392]; cellular response to mechanical stimulus [GO:0071260]; collagen-activated signaling pathway [GO:0038065]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; establishment of protein localization [GO:0045184]; extracellular matrix organization [GO:0030198]; female pregnancy [GO:0007565]; focal adhesion assembly [GO:0048041]; hepatocyte differentiation [GO:0070365]; hypotonic response [GO:0006971]; integrin-mediated signaling pathway [GO:0007229]; mammary gland development [GO:0030879]; mesodermal cell differentiation [GO:0048333]; positive regulation of alkaline phosphatase activity [GO:0010694]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell projection organization [GO:0031346]; positive regulation of collagen binding [GO:0033343]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA binding [GO:0043388]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of inflammatory response [GO:0050729]; positive regulation of leukocyte migration [GO:0002687]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of translation [GO:0045727]; positive regulation of transmission of nerve impulse [GO:0051971]; response to amine [GO:0014075]; response to drug [GO:0042493]; response to hypoxia [GO:0001666]; response to L-ascorbic acid [GO:0033591]; response to muscle activity [GO:0014850]; response to parathyroid hormone [GO:0071107]; skin morphogenesis [GO:0043589]; substrate-dependent cell migration [GO:0006929]	amyloid-beta binding [GO:0001540]; collagen binding [GO:0005518]; collagen binding involved in cell-matrix adhesion [GO:0098639]; collagen receptor activity [GO:0038064]; heparan sulfate proteoglycan binding [GO:0043395]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; virus receptor activity [GO:0001618]
P05026	AT1B1_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Homo sapiens (Human)	303	ATP1B1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; caveola [GO:0005901]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; intercalated disc [GO:0014704]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sodium:potassium-exchanging ATPase complex [GO:0005890]	ATP metabolic process [GO:0046034]; cardiac muscle contraction [GO:0060048]; cell adhesion [GO:0007155]; cell communication by electrical coupling involved in cardiac conduction [GO:0086064]; cellular calcium ion homeostasis [GO:0006874]; cellular potassium ion homeostasis [GO:0030007]; cellular sodium ion homeostasis [GO:0006883]; leukocyte migration [GO:0050900]; membrane repolarization [GO:0086009]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; positive regulation of ATPase activity [GO:0032781]; positive regulation of calcium:sodium antiporter activity [GO:1903281]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of sodium ion export across plasma membrane [GO:1903278]; potassium ion import across plasma membrane [GO:1990573]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; protein transport into plasma membrane raft [GO:0044861]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of gene expression [GO:0010468]; relaxation of cardiac muscle [GO:0055119]; response to hypoxia [GO:0001666]; sodium ion export across plasma membrane [GO:0036376]	ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; MHC class II protein complex binding [GO:0023026]; protein C-terminus binding [GO:0008022]; protein kinase binding [GO:0019901]; sodium:potassium-exchanging ATPase activity [GO:0005391]
P05362	ICAM1_HUMAN	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	Homo sapiens (Human)	532	ICAM1	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	acute inflammatory response to antigenic stimulus [GO:0002438]; adhesion of symbiont to host [GO:0044406]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell aging [GO:0007569]; cellular response to alkaloid [GO:0071312]; cellular response to amyloid-beta [GO:1904646]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nutrient levels [GO:0031669]; cellular response to tumor necrosis factor [GO:0071356]; cytokine-mediated signaling pathway [GO:0019221]; establishment of endothelial barrier [GO:0061028]; establishment of endothelial intestinal barrier [GO:0090557]; establishment of Sertoli cell barrier [GO:0097368]; extracellular matrix organization [GO:0030198]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; interferon-gamma-mediated signaling pathway [GO:0060333]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; membrane to membrane docking [GO:0022614]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; ovarian follicle development [GO:0001541]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cellular extravasation [GO:0002693]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of vasoconstriction [GO:0045907]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of cell shape [GO:0008360]; regulation of immune response [GO:0050776]; regulation of leukocyte mediated cytotoxicity [GO:0001910]; regulation of ruffle assembly [GO:1900027]; response to amino acid [GO:0043200]; response to amphetamine [GO:0001975]; response to copper ion [GO:0046688]; response to ethanol [GO:0045471]; response to gonadotropin [GO:0034698]; response to insulin [GO:0032868]; response to ionizing radiation [GO:0010212]; response to sulfur dioxide [GO:0010477]; sensory perception of sound [GO:0007605]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]; T cell antigen processing and presentation [GO:0002457]; T cell extravasation [GO:0072683]	integrin binding [GO:0005178]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]
P21359	NF1_HUMAN	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]	Homo sapiens (Human)	2839	NF1	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; presynapse [GO:0098793]	actin cytoskeleton organization [GO:0030036]; adrenal gland development [GO:0030325]; amygdala development [GO:0021764]; artery morphogenesis [GO:0048844]; brain development [GO:0007420]; camera-type eye morphogenesis [GO:0048593]; cell communication [GO:0007154]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cognition [GO:0050890]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; forebrain astrocyte development [GO:0021897]; forebrain morphogenesis [GO:0048853]; gamma-aminobutyric acid secretion, neurotransmission [GO:0061534]; glutamate secretion, neurotransmission [GO:0061535]; hair follicle maturation [GO:0048820]; heart development [GO:0007507]; liver development [GO:0001889]; MAPK cascade [GO:0000165]; metanephros development [GO:0001656]; myelination in peripheral nervous system [GO:0022011]; negative regulation of angiogenesis [GO:0016525]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of cell migration [GO:0030336]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neurotransmitter secretion [GO:0046929]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of Rac protein signal transduction [GO:0035021]; neural tube development [GO:0021915]; observational learning [GO:0098597]; osteoblast differentiation [GO:0001649]; peripheral nervous system development [GO:0007422]; phosphatidylinositol 3-kinase signaling [GO:0014065]; pigmentation [GO:0043473]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of GTPase activity [GO:0043547]; positive regulation of neuron apoptotic process [GO:0043525]; Ras protein signal transduction [GO:0007265]; regulation of angiogenesis [GO:0045765]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of bone resorption [GO:0045124]; regulation of cell-matrix adhesion [GO:0001952]; regulation of gene expression [GO:0010468]; regulation of glial cell differentiation [GO:0045685]; regulation of GTPase activity [GO:0043087]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of synaptic transmission, GABAergic [GO:0032228]; response to hypoxia [GO:0001666]; Schwann cell development [GO:0014044]; skeletal muscle tissue development [GO:0007519]; smooth muscle tissue development [GO:0048745]; spinal cord development [GO:0021510]; sympathetic nervous system development [GO:0048485]; visual learning [GO:0008542]; wound healing [GO:0042060]	GTPase activator activity [GO:0005096]; phosphatidylcholine binding [GO:0031210]; phosphatidylethanolamine binding [GO:0008429]
