Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.	Category
P52789	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Muscle form hexokinase)	Homo sapiens (Human)	917	HK2	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; sarcoplasmic reticulum [GO:0016529]	apoptotic mitochondrial changes [GO:0008637]; canonical glycolysis [GO:0061621]; cellular glucose homeostasis [GO:0001678]; cellular response to leukemia inhibitory factor [GO:1990830]; establishment of protein localization to mitochondrion [GO:0072655]; glycolytic process [GO:0006096]; lactation [GO:0007595]; maintenance of protein location in mitochondrion [GO:0072656]; negative regulation of mitochondrial membrane permeability [GO:0035795]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization [GO:1904925]; regulation of glucose import [GO:0046324]; response to hypoxia [GO:0001666]; response to ischemia [GO:0002931]	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]	Hypoxia-RBP
P36776	LONM_HUMAN	Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	Homo sapiens (Human)	959	LONP1	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial DNA metabolic process [GO:0032042]; mitochondrial genome maintenance [GO:0000002]; mitochondrion organization [GO:0007005]; oxidation-dependent protein catabolic process [GO:0070407]; protein homooligomerization [GO:0051260]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; proteolysis involved in cellular protein catabolic process [GO:0051603]; response to aluminum ion [GO:0010044]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; DNA polymerase binding [GO:0070182]; G-quadruplex DNA binding [GO:0051880]; mitochondrial promoter sequence-specific DNA binding [GO:0001018]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]	Hypoxia-RBP
O15551	CLD3_HUMAN	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	Homo sapiens (Human)	220	CLDN3	apicolateral plasma membrane [GO:0016327]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lateral plasma membrane [GO:0016328]	bicellular tight junction assembly [GO:0070830]; calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules [GO:0016338]; epithelial cell morphogenesis [GO:0003382]; protein heterooligomerization [GO:0051291]; protein homooligomerization [GO:0051260]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]	identical protein binding [GO:0042802]; structural molecule activity [GO:0005198]; transmembrane signaling receptor activity [GO:0004888]	Hypoxia-RBP
P03915	NU5M_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	Homo sapiens (Human)	603	MT-ND5	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; neuron projection [GO:0043005]	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to organonitrogen compound [GO:0010243]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	Hypoxia-RBP
P18074	ERCC2_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	Homo sapiens (Human)	760	ERCC2	CAK-ERCC2 complex [GO:0070516]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; MMXD complex [GO:0071817]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]	7-methylguanosine mRNA capping [GO:0006370]; aging [GO:0007568]; apoptotic process [GO:0006915]; bone mineralization [GO:0030282]; cell population proliferation [GO:0008283]; central nervous system myelin formation [GO:0032289]; chromosome segregation [GO:0007059]; embryonic cleavage [GO:0040016]; embryonic organ development [GO:0048568]; erythrocyte maturation [GO:0043249]; extracellular matrix organization [GO:0030198]; global genome nucleotide-excision repair [GO:0070911]; hair cell differentiation [GO:0035315]; hair follicle maturation [GO:0048820]; hematopoietic stem cell differentiation [GO:0060218]; in utero embryonic development [GO:0001701]; multicellular organism growth [GO:0035264]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; nucleotide-excision repair, preincision complex stabilization [GO:0006293]; positive regulation of DNA binding [GO:0043388]; positive regulation of mitotic recombination [GO:0045951]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle phase transition [GO:1901990]; regulation of mitotic recombination [GO:0000019]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; spinal cord development [GO:0021510]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription initiation from RNA polymerase I promoter [GO:0006361]; UV protection [GO:0009650]; viral process [GO:0016032]	4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141]; ATP-dependent DNA helicase activity [GO:0004003]; damaged DNA binding [GO:0003684]; DNA-dependent ATPase activity [GO:0008094]; metal ion binding [GO:0046872]; protein binding, bridging [GO:0030674]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]	Hypoxia-RBP
P19447	ERCC3_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)	Homo sapiens (Human)	782	ERCC3	nucleoplasm [GO:0005654]; nucleotide-excision repair factor 3 complex [GO:0000112]; nucleus [GO:0005634]; transcriptional preinitiation complex [GO:0097550]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]	7-methylguanosine mRNA capping [GO:0006370]; apoptotic process [GO:0006915]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; embryonic organ development [GO:0048568]; global genome nucleotide-excision repair [GO:0070911]; hair cell differentiation [GO:0035315]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; nucleotide-excision repair, preincision complex stabilization [GO:0006293]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle phase transition [GO:1901990]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription initiation from RNA polymerase I promoter [GO:0006361]; UV protection [GO:0009650]; viral process [GO:0016032]	3'-5' DNA helicase activity [GO:0043138]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; transcription factor binding [GO:0008134]	Hypoxia-RBP
P23526	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	Homo sapiens (Human)	432	AHCY	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; neuron projection [GO:0043005]; nucleus [GO:0005634]	chronic inflammatory response to antigenic stimulus [GO:0002439]; circadian sleep/wake cycle [GO:0042745]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]; S-adenosylhomocysteine catabolic process [GO:0019510]; S-adenosylmethionine cycle [GO:0033353]; sulfur amino acid metabolic process [GO:0000096]	adenosylhomocysteinase activity [GO:0004013]; adenyl nucleotide binding [GO:0030554]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]	Hypoxia-RBP
P51608	MECP2_HUMAN	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	Homo sapiens (Human)	486	MECP2	centrosome [GO:0005813]; chromatin [GO:0000785]; cytosol [GO:0005829]; extracellular space [GO:0005615]; heterochromatin [GO:0000792]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynapse [GO:0098794]	adult locomotory behavior [GO:0008344]; behavioral fear response [GO:0001662]; cardiolipin metabolic process [GO:0032048]; catecholamine secretion [GO:0050432]; cellular biogenic amine metabolic process [GO:0006576]; cerebellum development [GO:0021549]; chromatin silencing [GO:0006342]; dendrite development [GO:0016358]; excitatory postsynaptic potential [GO:0060079]; glucocorticoid metabolic process [GO:0008211]; glutamine metabolic process [GO:0006541]; histone acetylation [GO:0016573]; histone methylation [GO:0016571]; inositol metabolic process [GO:0006020]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitotic spindle organization [GO:0007052]; negative regulation of angiogenesis [GO:0016525]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of gene expression [GO:0010629]; negative regulation of histone acetylation [GO:0035067]; negative regulation of histone methylation [GO:0031061]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of smooth muscle cell differentiation [GO:0051151]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation [GO:2000820]; neurological system process involved in regulation of systemic arterial blood pressure [GO:0001976]; neuron maturation [GO:0042551]; pathogenesis [GO:0009405]; phosphatidylcholine metabolic process [GO:0046470]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA methylation [GO:1905643]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of histone H3-K9 trimethylation [GO:1900114]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of synapse assembly [GO:0051965]; positive regulation of transcription, DNA-templated [GO:0045893]; post-embryonic development [GO:0009791]; proprioception [GO:0019230]; protein localization [GO:0008104]; regulation of gene expression by genetic imprinting [GO:0006349]; regulation of respiratory gaseous exchange by neurological system process [GO:0002087]; respiratory gaseous exchange [GO:0007585]; response to hypoxia [GO:0001666]; response to radiation [GO:0009314]; sensory perception of pain [GO:0019233]; social behavior [GO:0035176]; startle response [GO:0001964]; synapse assembly [GO:0007416]; transcription initiation from RNA polymerase II promoter [GO:0006367]; ventricular system development [GO:0021591]; visual learning [GO:0008542]	DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded methylated DNA binding [GO:0010385]; methyl-CpG binding [GO:0008327]; mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; siRNA binding [GO:0035197]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	Hypoxia-RBP
P61073	CXCR4_HUMAN	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	Homo sapiens (Human)	352	CXCR4	cell junction [GO:0030054]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	activation of MAPK activity [GO:0000187]; apoptotic process [GO:0006915]; axon guidance [GO:0007411]; brain development [GO:0007420]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; cellular response to cytokine stimulus [GO:0071345]; chemotaxis [GO:0006935]; CXCL12-activated CXCR4 signaling pathway [GO:0038160]; dendritic cell chemotaxis [GO:0002407]; entry into host cell [GO:0030260]; fusion of virus membrane with host plasma membrane [GO:0019064]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; myelin maintenance [GO:0043217]; neurogenesis [GO:0022008]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of oligodendrocyte differentiation [GO:0048714]; regulation of chemotaxis [GO:0050920]; response to hypoxia [GO:0001666]; response to virus [GO:0009615]	actin binding [GO:0003779]; C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine binding [GO:0019956]; coreceptor activity [GO:0015026]; C-X-C chemokine receptor activity [GO:0016494]; C-X-C motif chemokine 12 receptor activity [GO:0038147]; G protein-coupled receptor activity [GO:0004930]; myosin light chain binding [GO:0032027]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; virus receptor activity [GO:0001618]	Hypoxia-RBP
P78536	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Homo sapiens (Human)	824	ADAM17	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	B cell differentiation [GO:0030183]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell motility [GO:0048870]; cellular response to high density lipoprotein particle stimulus [GO:0071403]; defense response to Gram-positive bacterium [GO:0050830]; epidermal growth factor receptor signaling pathway [GO:0007173]; germinal center formation [GO:0002467]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neutrophil mediated immunity [GO:0002446]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; PMA-inducible membrane protein ectodomain proteolysis [GO:0051088]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular component movement [GO:0051272]; positive regulation of chemokine production [GO:0032722]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; proteolysis [GO:0006508]; receptor transactivation [GO:0035624]; regulation of mast cell apoptotic process [GO:0033025]; response to drug [GO:0042493]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; wound healing, spreading of epidermal cells [GO:0035313]	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; interleukin-6 receptor binding [GO:0005138]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; Notch binding [GO:0005112]; PDZ domain binding [GO:0030165]; peptidase activity [GO:0008233]; SH3 domain binding [GO:0017124]	Hypoxia-RBP
Q03135	CAV1_HUMAN	Caveolin-1	Homo sapiens (Human)	178	CAV1	acrosomal membrane [GO:0002080]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; caveola [GO:0005901]; cell cortex [GO:0005938]; cilium [GO:0005929]; cytoplasmic vesicle [GO:0031410]; early endosome membrane [GO:0031901]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; lipid droplet [GO:0005811]; membrane [GO:0016020]; membrane raft [GO:0045121]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	angiogenesis [GO:0001525]; angiotensin-activated signaling pathway involved in heart process [GO:0086098]; apoptotic signaling pathway [GO:0097190]; beta-catenin destruction complex disassembly [GO:1904886]; calcium ion homeostasis [GO:0055074]; calcium ion transport [GO:0006816]; caveola assembly [GO:0070836]; caveolin-mediated endocytosis [GO:0072584]; cell differentiation [GO:0030154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to hyperoxia [GO:0071455]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to starvation [GO:0009267]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cholesterol homeostasis [GO:0042632]; cholesterol transport [GO:0030301]; inactivation of MAPK activity [GO:0000188]; lactation [GO:0007595]; leukocyte migration [GO:0050900]; lipid storage [GO:0019915]; maintenance of protein location in cell [GO:0032507]; mammary gland development [GO:0030879]; mammary gland involution [GO:0060056]; membrane depolarization [GO:0051899]; negative regulation of anoikis [GO:2000811]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of inward rectifier potassium channel activity [GO:1903609]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of necroptotic process [GO:0060546]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of nitric-oxide synthase activity [GO:0051001]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-tyrosine autophosphorylation [GO:1900085]; negative regulation of pinocytosis [GO:0048550]; negative regulation of potassium ion transmembrane transport [GO:1901380]; negative regulation of protein binding [GO:0032091]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; nitric oxide homeostasis [GO:0033484]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell adhesion molecule production [GO:0060355]; positive regulation of cell migration [GO:0030335]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein binding [GO:0032092]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of toll-like receptor 3 signaling pathway [GO:0034141]; positive regulation of vasoconstriction [GO:0045907]; posttranscriptional regulation of gene expression [GO:0010608]; protein homooligomerization [GO:0051260]; protein localization [GO:0008104]; protein localization to basolateral plasma membrane [GO:1903361]; protein localization to plasma membrane raft [GO:0044860]; receptor internalization [GO:0031623]; receptor internalization involved in canonical Wnt signaling pathway [GO:2000286]; receptor-mediated endocytosis of virus by host cell [GO:0019065]; regulation of blood coagulation [GO:0030193]; regulation of cardiac muscle cell action potential involved in regulation of contraction [GO:0098909]; regulation of cell communication by electrical coupling involved in cardiac conduction [GO:1901844]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of entry of bacterium into host cell [GO:2000535]; regulation of fatty acid metabolic process [GO:0019217]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of membrane repolarization during action potential [GO:0098903]; regulation of nitric-oxide synthase activity [GO:0050999]; regulation of peptidase activity [GO:0052547]; regulation of ruffle assembly [GO:1900027]; regulation of smooth muscle contraction [GO:0006940]; regulation of the force of heart contraction by chemical signal [GO:0003057]; regulation of ventricular cardiac muscle cell action potential [GO:0098911]; response to bacterium [GO:0009617]; response to calcium ion [GO:0051592]; response to estrogen [GO:0043627]; response to hypoxia [GO:0001666]; response to ischemia [GO:0002931]; response to progesterone [GO:0032570]; skeletal muscle tissue development [GO:0007519]; T cell costimulation [GO:0031295]; triglyceride metabolic process [GO:0006641]; vasculogenesis [GO:0001570]; vasoconstriction [GO:0042310]; vesicle organization [GO:0016050]	ATPase binding [GO:0051117]; cholesterol binding [GO:0015485]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; inward rectifier potassium channel inhibitor activity [GO:0070320]; ion channel binding [GO:0044325]; nitric-oxide synthase binding [GO:0050998]; patched binding [GO:0005113]; peptidase activator activity [GO:0016504]; protein binding, bridging [GO:0030674]; protein-containing complex scaffold activity [GO:0032947]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; Rac GTPase binding [GO:0048365]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]	Hypoxia-RBP
Q14571	ITPR2_HUMAN	Inositol 1,4,5-trisphosphate receptor type 2 (IP3 receptor isoform 2) (IP3R 2) (InsP3R2) (Type 2 inositol 1,4,5-trisphosphate receptor) (Type 2 InsP3 receptor)	Homo sapiens (Human)	2701	ITPR2	cell cortex [GO:0005938]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; receptor complex [GO:0043235]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum membrane [GO:0033017]; secretory granule membrane [GO:0030667]	cellular response to cAMP [GO:0071320]; cellular response to ethanol [GO:0071361]; platelet activation [GO:0030168]; regulation of cardiac conduction [GO:1903779]; regulation of insulin secretion [GO:0050796]; release of sequestered calcium ion into cytosol [GO:0051209]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]	calcium ion binding [GO:0005509]; calcium ion transmembrane transporter activity [GO:0015085]; inositol 1,4,5 trisphosphate binding [GO:0070679]; inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0005220]; phosphatidylinositol binding [GO:0035091]; scaffold protein binding [GO:0097110]	Hypoxia-RBP
Q6RW13	ATRAP_HUMAN	Type-1 angiotensin II receptor-associated protein (AT1 receptor-associated protein)	Homo sapiens (Human)	159	AGTRAP	cell cortex [GO:0005938]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	regulation of blood pressure [GO:0008217]; response to hypoxia [GO:0001666]	angiotensin type II receptor activity [GO:0004945]	Hypoxia-RBP
Q92544	TM9S4_HUMAN	Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1)	Homo sapiens (Human)	642	TM9SF4	early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	cell adhesion [GO:0007155]; phagocytosis [GO:0006909]; positive regulation of protein exit from endoplasmic reticulum [GO:0070863]; positive regulation of protein localization to cell surface [GO:2000010]; protein localization to membrane [GO:0072657]; regulation of intracellular pH [GO:0051453]; response to hypoxia [GO:0001666]; vacuolar proton-transporting V-type ATPase complex assembly [GO:0070072]		Hypoxia-RBP
O00469	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	Homo sapiens (Human)	737	PLOD2	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; rough endoplasmic reticulum membrane [GO:0030867]	cellular protein modification process [GO:0006464]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; hydroxylysine biosynthetic process [GO:0046947]; peptidyl-lysine hydroxylation [GO:0017185]; response to hypoxia [GO:0001666]	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-lysine 5-dioxygenase activity [GO:0008475]	Hypoxia-RBP
