Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..molecular.function.	Gene.ontology..biological.process.	Gene.ontology..cellular.component.
P48723	HSP13_HUMAN	Heat shock 70 kDa protein 13 (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein)	Homo sapiens (Human)	471	HSPA13	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]	cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]
P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Homo sapiens (Human)	654	HSPA5	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; chaperone binding [GO:0051087]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein domain specific binding [GO:0019904]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]	ATF6-mediated unfolded protein response [GO:0036500]; cellular response to antibiotic [GO:0071236]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to drug [GO:0035690]; cellular response to gamma radiation [GO:0071480]; cellular response to glucose starvation [GO:0042149]; cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; cellular response to manganese ion [GO:0071287]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to unfolded protein [GO:0034620]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum structural organization [GO:0021589]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; IRE1-mediated unfolded protein response [GO:0036498]; luteolysis [GO:0001554]; maintenance of protein localization in endoplasmic reticulum [GO:0035437]; negative regulation of apoptotic process [GO:0043066]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of protein homodimerization activity [GO:0090074]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of cell migration [GO:0030335]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; posttranslational protein targeting to membrane, translocation [GO:0031204]; protein folding in endoplasmic reticulum [GO:0034975]; protein refolding [GO:0042026]; regulation of ATF6-mediated unfolded protein response [GO:1903891]; regulation of IRE1-mediated unfolded protein response [GO:1903894]; regulation of PERK-mediated unfolded protein response [GO:1903897]; regulation of protein folding in endoplasmic reticulum [GO:0060904]; response to cocaine [GO:0042220]; response to methamphetamine hydrochloride [GO:1904313]; response to unfolded protein [GO:0006986]; stress response to metal ion [GO:0097501]; substantia nigra development [GO:0021762]; toxin transport [GO:1901998]; ubiquitin-dependent ERAD pathway [GO:0030433]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of endoplasmic reticulum membrane [GO:0030176]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]
Q14703	MBTP1_HUMAN	Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1)	Homo sapiens (Human)	1052	MBTPS1	serine-type endopeptidase activity [GO:0004252]	ATF6-mediated unfolded protein response [GO:0036500]; cellular protein metabolic process [GO:0044267]; cholesterol metabolic process [GO:0008203]; endoplasmic reticulum unfolded protein response [GO:0030968]; lysosome organization [GO:0007040]; membrane protein intracellular domain proteolysis [GO:0031293]; post-translational protein modification [GO:0043687]; protein import into nucleus [GO:0006606]; proteolysis [GO:0006508]; regulation of cholesterol biosynthetic process [GO:0045540]; response to endoplasmic reticulum stress [GO:0034976]	endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; integral component of membrane [GO:0016021]
O43462	MBTP2_HUMAN	Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P) (Sterol regulatory element-binding proteins intramembrane protease) (SREBPs intramembrane protease)	Homo sapiens (Human)	519	MBTPS2	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	ATF6-mediated unfolded protein response [GO:0036500]; bone maturation [GO:0070977]; cholesterol metabolic process [GO:0008203]; endoplasmic reticulum unfolded protein response [GO:0030968]; membrane protein intracellular domain proteolysis [GO:0031293]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; regulation of cholesterol biosynthetic process [GO:0045540]; response to endoplasmic reticulum stress [GO:0034976]	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q16236	NF2L2_HUMAN	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	Homo sapiens (Human)	605	NFE2L2	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein domain specific binding [GO:0019904]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; transcription cofactor binding [GO:0001221]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	aflatoxin catabolic process [GO:0046223]; aging [GO:0007568]; cell redox homeostasis [GO:0045454]; cellular response to angiotensin [GO:1904385]; cellular response to fluid shear stress [GO:0071498]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to oxidative stress [GO:0034599]; cellular response to tumor necrosis factor [GO:0071356]; endoplasmic reticulum unfolded protein response [GO:0030968]; inflammatory response [GO:0006954]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of hematopoietic stem cell differentiation [GO:1902037]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood coagulation [GO:0030194]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of gene expression [GO:0010628]; positive regulation of glucose import [GO:0046326]; positive regulation of glutathione biosynthetic process [GO:1903788]; positive regulation of neuron projection development [GO:0010976]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of embryonic development [GO:0045995]; regulation of removal of superoxide radicals [GO:2000121]; regulation of transcription from RNA polymerase II promoter in response to copper ion [GO:0061396]; transcription by RNA polymerase II [GO:0006366]; viral process [GO:0016032]	centrosome [GO:0005813]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]
P18031	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	Homo sapiens (Human)	435	PTPN1	cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; insulin receptor binding [GO:0005158]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein tyrosine phosphatase activity [GO:0004725]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	actin cytoskeleton reorganization [GO:0031532]; activation of JUN kinase activity [GO:0007257]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum unfolded protein response [GO:0030968]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of signal transduction [GO:0009968]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; peptidyl-tyrosine dephosphorylation [GO:0035335]; peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity [GO:1990264]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of receptor catabolic process [GO:2000646]; protein dephosphorylation [GO:0006470]; regulation of endocytosis [GO:0030100]; regulation of hepatocyte growth factor receptor signaling pathway [GO:1902202]; regulation of intracellular protein transport [GO:0033157]; regulation of signal transduction [GO:0009966]; regulation of type I interferon-mediated signaling pathway [GO:0060338]	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; protein-containing complex [GO:0032991]; sorting endosome [GO:0097443]
Q9Y6X1	SERP1_HUMAN	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)	Homo sapiens (Human)	66	SERP1		cellular protein modification process [GO:0006464]; endoplasmic reticulum unfolded protein response [GO:0030968]; glucose metabolic process [GO:0006006]; IRE1-mediated unfolded protein response [GO:0036498]; multicellular organism aging [GO:0010259]; muscle organ morphogenesis [GO:0048644]; plasma membrane organization [GO:0007009]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of insulin secretion [GO:0032024]; positive regulation of organ growth [GO:0046622]; positive regulation of translation [GO:0045727]; post-embryonic development [GO:0009791]; protein glycosylation [GO:0006486]; protein transport [GO:0015031]; skeletal system development [GO:0001501]	cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; ribosome [GO:0005840]
Q9UNE7	CHIP_HUMAN	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	Homo sapiens (Human)	303	STUB1	chaperone binding [GO:0051087]; enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; kinase binding [GO:0019900]; misfolded protein binding [GO:0051787]; protein binding, bridging [GO:0030674]; protein homodimerization activity [GO:0042803]; SMAD binding [GO:0046332]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-ubiquitin ligase activity [GO:0034450]	cellular response to heat [GO:0034605]; cellular response to hypoxia [GO:0071456]; cellular response to misfolded protein [GO:0071218]; chaperone-mediated autophagy [GO:0061684]; DNA repair [GO:0006281]; endoplasmic reticulum unfolded protein response [GO:0030968]; ERBB2 signaling pathway [GO:0038128]; negative regulation of protein binding [GO:0032091]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of chaperone-mediated protein complex assembly [GO:0090035]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein maturation [GO:0051604]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein ubiquitination [GO:0016567]; regulation of glucocorticoid metabolic process [GO:0031943]; regulation of protein stability [GO:0031647]; response to ischemia [GO:0002931]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent SMAD protein catabolic process [GO:0030579]	chaperone complex [GO:0101031]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nuclear inclusion body [GO:0042405]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin conjugating enzyme complex [GO:0031371]; ubiquitin ligase complex [GO:0000151]; Z disc [GO:0030018]
Q86TM6	SYVN1_HUMAN	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	Homo sapiens (Human)	617	SYVN1	ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]	endoplasmic reticulum mannose trimming [GO:1904380]; endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein K48-linked ubiquitination [GO:0070936]; protein N-linked glycosylation via asparagine [GO:0018279]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; Hrd1p ubiquitin ligase complex [GO:0000836]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; smooth endoplasmic reticulum [GO:0005790]
P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Homo sapiens (Human)	806	VCP	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; BAT3 complex binding [GO:1904288]; deubiquitinase activator activity [GO:0035800]; identical protein binding [GO:0042802]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; lipid binding [GO:0008289]; MHC class I protein binding [GO:0042288]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein domain specific binding [GO:0019904]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; aggresome assembly [GO:0070842]; ATP metabolic process [GO:0046034]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to arsenite ion [GO:1903843]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum unfolded protein response [GO:0030968]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ERAD pathway [GO:0036503]; ER-associated misfolded protein catabolic process [GO:0071712]; error-free translesion synthesis [GO:0070987]; establishment of protein localization [GO:0045184]; flavin adenine dinucleotide catabolic process [GO:0072389]; macroautophagy [GO:0016236]; mitotic spindle disassembly [GO:0051228]; NADH metabolic process [GO:0006734]; neutrophil degranulation [GO:0043312]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Lys63-specific deubiquitinase activity [GO:1903007]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of oxidative phosphorylation [GO:1903862]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of protein K63-linked deubiquitination [GO:1903006]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein folding [GO:0006457]; protein hexamerization [GO:0034214]; protein homooligomerization [GO:0051260]; protein N-linked glycosylation via asparagine [GO:0018279]; protein ubiquitination [GO:0016567]; regulation of aerobic respiration [GO:1903715]; regulation of apoptotic process [GO:0042981]; regulation of synapse organization [GO:0050807]; retrograde protein transport, ER to cytosol [GO:0030970]; stress granule disassembly [GO:0035617]; translesion synthesis [GO:0019985]; transmembrane transport [GO:0055085]; ubiquitin-dependent ERAD pathway [GO:0030433]; viral genome replication [GO:0019079]	ATPase complex [GO:1904949]; azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; lipid droplet [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; proteasome complex [GO:0000502]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; site of double-strand break [GO:0035861]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]; VCP-NSFL1C complex [GO:1990730]
P17861	XBP1_HUMAN	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	Homo sapiens (Human)	261	XBP1	chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enhancer sequence-specific DNA binding [GO:0001158]; estrogen receptor binding [GO:0030331]; protease binding [GO:0002020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region DNA binding [GO:0044212]; ubiquitin protein ligase binding [GO:0031625]	adipose tissue development [GO:0060612]; angiogenesis [GO:0001525]; ATF6-mediated unfolded protein response [GO:0036500]; autophagy [GO:0006914]; cellular response to amino acid stimulus [GO:0071230]; cellular response to fluid shear stress [GO:0071498]; cellular response to fructose stimulus [GO:0071332]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-4 [GO:0071353]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nutrient [GO:0031670]; cellular response to oxidative stress [GO:0034599]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cellular triglyceride homeostasis [GO:0035356]; cholesterol homeostasis [GO:0042632]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell proliferation [GO:0001935]; epithelial cell maturation involved in salivary gland development [GO:0060691]; exocrine pancreas development [GO:0031017]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; immune response [GO:0006955]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; liver development [GO:0001889]; muscle organ development [GO:0007517]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of endoplasmic reticulum unfolded protein response [GO:1900102]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron development [GO:0048666]; organelle organization [GO:0006996]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of histone methylation [GO:0031062]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of immunoglobulin secretion [GO:0051024]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of lactation [GO:1903489]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phospholipid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter [GO:1900413]; positive regulation of plasma cell differentiation [GO:1900100]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; positive regulation of vascular wound healing [GO:0035470]; protein destabilization [GO:0031648]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; regulation of cell growth [GO:0001558]; regulation of protein stability [GO:0031647]; response to endoplasmic reticulum stress [GO:0034976]; response to insulin-like growth factor stimulus [GO:1990418]; sterol homeostasis [GO:0055092]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
